job,timestamp_utc,norway_gco2_kwh,quebec_gco2_kwh,ohio_gco2_kwh,selected_region
1,2025-12-15T23:29:53,37,54,581,norway
2,2025-12-16T00:21:36,37,54,580,norway
3,2025-12-16T03:06:49,36,55,576,norway
4,2025-12-16T05:52:14,35,51,572,norway
5,2025-12-16T08:37:32,36,53,550,norway
6,2025-12-16T11:23:04,36,55,519,norway
7,2025-12-16T14:08:36,37,51,528,norway
8,2025-12-16T16:54:13,38,49,562,norway
9,2025-12-16T19:39:28,39,52,533,norway
10,2025-12-16T22:25:19,37,53,525,norway
11,2025-12-17T01:11:34,36,48,508,norway
12,2025-12-17T03:57:28,36,46,489,norway
13,2025-12-17T06:44:04,35,49,501,norway
14,2025-12-17T09:30:08,34,49,501,norway
15,2025-12-17T12:16:02,34,50,497,norway
16,2025-12-17T15:02:25,35,50,472,norway
17,2025-12-17T17:48:46,34,51,564,norway
18,2025-12-17T20:34:18,33,50,519,norway
19,2025-12-17T23:20:15,34,40,498,norway
20,2025-12-18T02:06:02,33,63,486,norway
21,2025-12-18T04:51:34,33,51,483,norway